-96.8163060,33.0984060,3rd Base Sports Bar and Grill,2390 Parkwood Blvd,Frisco,TX,(214) 618-4450,Beer Bar,
-97.7841840,30.2946970,Abel's on the Lake,3825 Lake Austin Blvd,Austin,TX,(512) 904-0572,Beer Bar,
-95.6486053466797,29.7296295166016,Alamo Draft House,1000 W Oaks Mall,Houston,TX,(281) 556-0204,Beer Bar,
-98.6494369506836,29.4263191223145,Alamo Drafthouse - San Antonio,1255 SW Loop 410,San Antonio,TX,(210) 677-8500,Beer Bar,
-95.751721,29.776759,Alamo Drafthouse Cinema - Katy,531 South Mason Road,Katy,TX,281-492-6900,Beer Bar,
-97.792854309082,30.4594116210938,Alamo Drafthouse Cinema - Lake Creek,13729 Research Blvd #1500,Austin,TX,(512) 219-5408,Beer Bar,score: 89.2
-97.8690631,30.2005716,Alamo Drafthouse Cinema - Slaughter Lane,5701 W. Slaughter Lane,Austin,TX,(512) 476-1320,Beer Bar,
-98.4883020,29.4179312,Alamo Street Eat Bar,609 South Alamo St,San Antonio,TX,(210) 227-2469,Beer Bar,
-95.3631370,29.7586180,Angelo's Houston,711 Main St,Houston,TX,(713) 225-3500â€Ž,Beer Bar,
-95.3968780,29.7430210,Anvil Bar and Refuge,1424 Westheimer,Houston,TX,(713) 523-1622,Beer Bar,
-96.7850270,32.7841720,Anvil Pub,2638 elm street,Dallas,TX,(214) 741-1271,Beer Bar,
-97.7455060,30.2685170,Austin Ale House,301 W. 6th St,Austin,TX,(512) 480-9433,Beer Bar,
-97.357676,27.701178,B and J's Pizza,6335 S Padre Island Dr.,Corpus Christi,TX,(361) 992-6671,Beer Bar,
-97.7671737670898,30.4333095550537,B. B. Rovers,12636 Research Blvd.,Austin,TX,(512) 335-9504,Beer Bar,score: 73.3
-97.7413177490234,30.2685928344727,B. D. Riley's Irish Pub,204 E. 6th St,Austin,TX,(512) 494-1335,Beer Bar,score: 83.3
-95.5847210,29.9095310,"Backyard Grill, The",9453 Jones Rd.,Houston,TX,(281) 897-9200,Beer Bar,
-97.7384130,30.2589050,Banger's Sausage House and Beer Garden,79 Rainey Street,Austin,TX,(512) 386-1656,Beer Bar,
-95.3780930,29.7238590,Bar 5015,5015 ALMEDA RD,Houston,TX,713-522-5015,Beer Bar,
-98.4886779785156,29.4175815582275,Bar America,723 S. Alamo Street,San Antonio,TX,(210) 223-7462,Beer Bar,
-96.7846832275391,32.8205184936523,Barley House,2916 N. Henderson Avenue,Dallas,TX,(214) 824-0306,Beer Bar,
-97.7684183,30.2490607,Barley Swine,2024 S Lamar Boulevard,Austin,TX,(512) 394-8150,Beer Bar,score: 93.3
-97.1303841,31.5559853,Barnett's Pub,420 Franklin Avenue,Waco,TX,(254) 714-1356,Beer Bar,
-95.4847850,29.7310740,Barry's Pizza,6003 Richmond Avenue,Houston,TX,(713) 266-8692,Beer Bar,
-96.706102,33.040260,Bavarian Grill,221 West Parker Road,Plano,TX,(972) 881-0705,Beer Bar,score: 88.3
-97.7649532,30.4304889,BB Rover's Cafe and Pub,12171 Jollyville Rd,Austin,TX,512-335-9504,Beer Bar,
-95.3822200,29.7669500,Beaver's,2310 Decatur Street,Houston,TX,(713) 864-beav,Beer Bar,
-97.7366638183594,30.2675666809082,Beerland Texas,711 1/2 Red River,Austin,TX,(512) 479-7625,Beer Bar,
-97.1112375,32.6094387,BFF Asian Grill and Bar - Mansfield,1601 E. Debbie Ln. Suite 2105,Mansfield,TX,,Beer Bar,
-97.0742980,32.7613210,BFF Asian Grill and Bar - Six Flags,2150 E. Lamar Blvd Ste 100,Arlington,TX,,Beer Bar,
-97.3517761230469,32.7890357971191,Big Balls Of Cowtown,302 W. Exchange Avenue,Fort Worth,TX,(817) 624-2800,Beer Bar,
-98.4661614,29.5134192,Big Hops Growler Station,8313 Broadway,San Antonio,TX,(210) 320-1995,Beer Bar,
-97.7395706176758,30.3220119476318,Billy's on Burnet,2105 Hancock Dr.,Austin,TX,(512) 407-9305,Beer Bar,score: 82.5
-96.82830334,32.95390531,BJ's Brewhouse - Addison,4901 Belt Line Rd,Dallas,TX,(972) 392-4600,Beer Bar,
-98.7073443,29.4900636,BJ's Brewhouse - Alamo Ranch,5447 W Loop 1604 North,San Antonio,TX,(210) 523-5700,Beer Bar,
-96.6548862,33.1297933,BJ's Brewhouse - Allen,190 E. Stacy Rd Ste 3300,Allen,TX,(972) 678-4050,Beer Bar,
-97.3144142,32.9122285,BJ's Brewhouse - Alliance,9401 Sage Meadow Trail,Fort Worth,TX,(817) 750-0005,Beer Bar,
-97.7341533,30.3870857,BJ's Brewhouse - Arbor Walk,10515 Mopac Expressway,Austin,TX,(512) 349-9000,Beer Bar,score: 88.3
-95.1331787109375,29.5454883575439,BJ's Brewhouse - Clear Lake,515 W. Bay Area Blvd.,Webster,TX,(281) 316-3037,Beer Bar,score: 85.0
-96.3043711,30.6278917,BJ's Brewhouse - College Station,1520 Harvey Rd,College Station,TX,(979) 696-5700,Beer Bar,
-106.306956,31.723107,BJ's Brewhouse - El Paso,11905 Gateway Blvd West,El Paso,TX,(915) 633-8300,Beer Bar,
-97.3949218,32.6783655,BJ's Brewhouse - Hulen Mall,4720 South Hulen Street,Fort Worth,TX,(817) 292-9200,Beer Bar,
-97.2045780,32.8266805,BJ's Brewhouse - Hurst,"952 North East , Loop 820",Hurst,TX,(817) 595-3705,Beer Bar,
-96.9624252319336,33.0009117126465,BJ's Brewhouse - Lewisville,2609 S Stemmons Fwy,Lewisville,TX,(972) 459-9700,Beer Bar,score: 78.3
-98.258420,26.194322,BJ's Brewhouse - McAllen,3200 Expressway 83,McAllen,TX,(956) 687-2005,Beer Bar,
-96.6264165,32.8087775,BJ's Brewhouse - Mesquite,1106 Town East Mall,Mesquite,TX,(972) 682-5800,Beer Bar,
-98.1244531,29.7030024,BJ's Brewhouse - New Braunfels,2951 Cold Springs Dr,New Braunfels,TX,830-620-1400,Beer Bar,
-95.277590,29.692470,BJ's Brewhouse - Pearland,11200 Broadway,Houston,TX,(713) 436-7805,Beer Bar,
